trial_id,fault_loc,fault_type,delta_I,delta_dc,delta_tau,delta_phi,OC_conv,OC_sambp,OC_veto,87B_A_conv,87B_A_sambp,87B_A_veto,87L_conv,87L_sambp,87L_veto,87B_B_conv,87B_B_sambp,87B_B_veto,87T_conv,87T_sambp,87T_veto
177,bus_A,3ph,0.0071,-0.07068,-0.16889,0.75517,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
178,bus_A,3ph,-0.19372,0.25186,-0.18729,0.00852,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
179,bus_A,3ph,0.11419,0.09815,0.0823,-0.63226,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
180,bus_A,3ph,0.14562,0.0899,0.1767,0.77793,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
181,bus_A,3ph,0.10186,0.18309,0.18441,0.34451,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
182,bus_A,3ph,0.04468,0.01617,0.00913,0.21984,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
183,bus_A,3ph,0.04987,-0.29915,-0.1403,-0.13075,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
184,bus_A,3ph,-0.08496,0.10471,0.19627,-0.36782,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
185,bus_A,3ph,0.12428,-0.07718,0.08952,-0.646,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
186,bus_A,3ph,0.04957,0.01234,0.13163,-0.59916,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
187,bus_A,3ph,0.0087,0.21802,0.0779,-0.53289,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
188,bus_A,3ph,0.14134,-0.16141,-0.17052,-0.65207,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
189,bus_A,3ph,0.1137,0.20422,0.15226,0.3996,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
190,bus_A,3ph,0.15761,0.25656,0.01487,0.20775,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
191,bus_A,3ph,0.18138,0.00852,-0.1037,0.68898,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
192,bus_A,3ph,-0.17973,0.05001,0.17178,0.38384,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
193,bus_A,3ph,0.04219,-0.00814,-0.09097,0.09949,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
194,bus_A,3ph,0.09543,0.03673,0.10656,0.73374,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
195,bus_A,3ph,0.05577,0.12473,0.13971,0.08352,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
196,bus_A,3ph,-0.08466,0.1761,0.12993,0.75378,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
197,bus_A,3ph,-0.19152,0.00422,-0.1755,-0.00583,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
198,bus_A,3ph,-0.00902,-0.16814,0.19967,0.38145,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
199,bus_A,3ph,-0.04557,0.17692,-0.10127,-0.33843,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
200,bus_A,3ph,0.11056,0.11711,0.11393,-0.17383,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
201,bus_A,3ph,-0.12608,-0.03929,0.09627,0.54401,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
202,bus_A,3ph,0.16089,0.2956,-0.0747,0.53101,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
203,bus_A,3ph,0.1994,-0.13223,-0.19798,-0.56159,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
204,bus_A,3ph,0.11107,0.18232,-0.0961,0.69149,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
205,bus_A,3ph,-0.10542,0.13714,-0.12621,0.40407,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
206,bus_A,3ph,-0.17967,0.0541,-0.06041,0.24992,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
207,bus_A,3ph,0.15472,-0.10672,0.18043,-0.0756,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
