feeder,fault_bus,alpha,Rx,snrI,observation,n_real_obs,rmse_alpha_pct_proper,rmse_alpha_pct_dual,rmse_Rx_pct_proper,rmse_Rx_pct_dual,consistency_ratio,geary_hinkley_valid
IEEE_34,bus_16,0.5,500.0,30.0,full,18,727.0716211877926,727.0716211877926,11.104512686999753,11.104512686999753,1.0,1
IEEE_34,bus_16,0.5,500.0,30.0,upper,12,862.00727331381,862.00727331381,13.780104344091008,13.780104344091008,1.0,1
IEEE_34,bus_16,0.5,500.0,30.0,diagonal,6,2225.2236529567367,2225.223652956737,44.34446780649608,44.344467806496084,0.9999999999999997,1
IEEE_34,bus_16,0.5,500.0,40.0,full,18,229.92023450245628,229.92023450245628,3.511555239715566,3.511555239715566,1.0,1
IEEE_34,bus_16,0.5,500.0,40.0,upper,12,272.5906343302919,272.5906343302919,4.357651612210822,4.357651612210822,1.0,1
IEEE_34,bus_16,0.5,500.0,40.0,diagonal,6,703.6775046623367,703.6775046623367,14.022951989653853,14.022951989653853,1.0,1
IEEE_34,bus_16,0.5,500.0,50.0,full,18,72.70716211877927,72.70716211877927,1.1104512686999752,1.1104512686999752,1.0,1
IEEE_34,bus_16,0.5,500.0,50.0,upper,12,86.20072733138102,86.20072733138102,1.3780104344091006,1.3780104344091006,1.0,1
IEEE_34,bus_16,0.5,500.0,50.0,diagonal,6,222.52236529567372,222.52236529567372,4.434446780649609,4.434446780649609,1.0,1
IEEE_34,bus_16,0.5,500.0,inf,full,18,1.0771001331325872e-147,nan,2.098593373045328e-149,nan,nan,1
IEEE_34,bus_16,0.5,500.0,inf,upper,12,1.1732519161568825e-147,nan,2.310924758928066e-149,nan,nan,1
IEEE_34,bus_16,0.5,500.0,inf,diagonal,6,1.312893812599394e-147,nan,2.6162455450003483e-149,nan,nan,1
IEEE_34,bus_16,0.5,1000.0,20.0,full,18,4581.895548130721,4581.895548130721,69.72624101363807,69.72624101363807,1.0,1
IEEE_34,bus_16,0.5,1000.0,20.0,upper,12,5431.795667872809,5431.795667872809,86.47299667687145,86.47299667687145,1.0,1
IEEE_34,bus_16,0.5,1000.0,20.0,diagonal,6,14119.43056568992,14119.43056568992,279.684728123251,279.684728123251,1.0,1
