t,ia,ib,ic,va,vb,vc,i_rms
0.2517,-1.8496828,-0.23179626,-0.23508473,-0.041582891,0.081684141,-0.04010125,1.4332477
0.2518,-1.8174901,-0.29245289,-0.25979585,-0.043770951,0.081616965,-0.037846014,1.4331379
0.2519,-1.7836957,-0.35301765,-0.28425059,-0.045915815,0.081469243,-0.035553428,1.4330067
0.252,-1.7483328,-0.41343041,-0.3084248,-0.048015366,0.081241121,-0.033225755,1.4328537
0.2521,-1.7114363,-0.47363122,-0.33229464,-0.050067531,0.080932824,-0.030865292,1.4326785
0.2522,-1.6730426,-0.53356036,-0.35583654,-0.052070286,0.080544655,-0.028474369,1.4324808
0.2523,-1.6331895,-0.59315836,-0.37902728,-0.054021653,0.080076999,-0.026055346,1.4322601
0.2524,-1.5919164,-0.65236613,-0.40184396,-0.055919708,0.079530317,-0.023610609,1.4320162
0.2525,-1.5492638,-0.71112494,-0.42426407,-0.057762577,0.078905147,-0.021142571,1.4317488
0.2526,-1.5052739,-0.76937654,-0.44626548,-0.059548441,0.078202108,-0.018653667,1.4314577
0.2527,-1.45999,-0.82706319,-0.46782648,-0.061275538,0.077421893,-0.016146355,1.4311426
0.2528,-1.4134566,-0.8841277,-0.4889258,-0.062942163,0.076565272,-0.013623109,1.4308034
0.2529,-1.3657196,-0.94051353,-0.5095426,-0.064546672,0.07563309,-0.011086418,1.4304399
0.253,-1.316826,-0.99616481,-0.52965655,-0.066087482,0.074626267,-0.0085387859,1.4300521
0.2531,-1.2668241,-1.0510264,-0.54924778,-0.06756307,0.073545798,-0.0059827272,1.4296399
0.2532,-1.2157629,-1.105044,-0.56829698,-0.068971983,0.072392747,-0.0034207644,1.4292033
0.2533,-1.1636927,-1.158164,-0.58678534,-0.070312828,0.071168254,-0.00085542559,1.4287423
0.2534,-1.1106649,-1.210334,-0.60469461,-0.071584283,0.069873526,0.0017107574,1.428257
0.2535,-1.0567316,-1.2615021,-0.62200712,-0.072785093,0.068509841,0.004275252,1.4277476
