dataset,cell,alpha,Rx,snrV,snrI,loc_err_p1,loc_err_p2,Rx_err_p2
pscad,244,0.400,100.0,30.0,20.0,0.513664,14.323961,7.401435
pscad,245,0.400,100.0,30.0,30.0,1.779161,14.279216,7.522748
pscad,246,0.400,100.0,30.0,40.0,1.451396,11.614961,7.548332
pscad,247,0.400,100.0,30.0,inf,1.580241,14.262352,7.515725
pscad,248,0.400,100.0,40.0,20.0,5.495393,8.983615,7.462084
pscad,249,0.400,100.0,40.0,30.0,0.033021,14.070514,7.487493
pscad,250,0.400,100.0,40.0,40.0,1.927090,11.602922,7.501410
pscad,251,0.400,100.0,40.0,inf,0.554983,14.103468,7.516545
pscad,252,0.400,100.0,inf,20.0,8.292441,21.600509,7.717573
pscad,253,0.400,100.0,inf,30.0,2.198996,11.629449,7.466656
pscad,254,0.400,100.0,inf,40.0,1.076987,11.727908,7.504135
pscad,255,0.400,100.0,inf,inf,0.211805,16.150024,7.508871
pscad,256,0.400,500.0,20.0,20.0,8.996346,8.693806,1.121311
pscad,257,0.400,500.0,20.0,30.0,21.309449,21.853155,0.840378
pscad,258,0.400,500.0,20.0,40.0,8.619623,11.272017,0.800320
pscad,259,0.400,500.0,20.0,inf,38.437199,41.818839,0.926508
pscad,260,0.400,500.0,30.0,20.0,15.587537,16.604462,0.978741
pscad,261,0.400,500.0,30.0,30.0,7.525765,6.670750,0.919107
pscad,262,0.400,500.0,30.0,40.0,0.013386,0.968943,0.977720
pscad,263,0.400,500.0,30.0,inf,4.655036,6.126453,0.909745
pscad,264,0.400,500.0,40.0,20.0,80.260465,92.032738,0.873675
pscad,265,0.400,500.0,40.0,30.0,19.878739,21.433728,0.974942
pscad,266,0.400,500.0,40.0,40.0,1.982372,3.456215,0.959488
pscad,267,0.400,500.0,40.0,inf,0.687061,1.203075,0.927418
pscad,268,0.400,500.0,inf,20.0,20.816771,23.928597,0.884753
pscad,269,0.400,500.0,inf,30.0,6.496577,6.392858,0.958836
pscad,270,0.400,500.0,inf,40.0,8.087896,8.886859,0.928014
pscad,271,0.400,500.0,inf,inf,0.541484,1.093080,0.956474
pscad,272,0.400,1000.0,20.0,20.0,104.300506,77.200364,12.378285
pscad,273,0.400,1000.0,20.0,30.0,129.748950,99.975000,11.065887
pscad,274,0.400,1000.0,20.0,40.0,33.371943,99.975000,11.106282
pscad,275,0.400,1000.0,20.0,inf,137.500000,149.975000,11.098193
pscad,276,0.400,1000.0,30.0,20.0,17.752980,99.975000,11.053569
pscad,277,0.400,1000.0,30.0,30.0,16.441030,99.975000,11.082429
pscad,278,0.400,1000.0,30.0,40.0,6.325675,99.975000,11.061908
pscad,279,0.400,1000.0,30.0,inf,18.498553,99.975000,11.043237
pscad,280,0.400,1000.0,40.0,20.0,43.807676,99.975000,11.014725
pscad,281,0.400,1000.0,40.0,30.0,7.420381,99.975000,11.068199
pscad,282,0.400,1000.0,40.0,40.0,7.018661,99.975000,11.060534
pscad,283,0.400,1000.0,40.0,inf,16.355354,99.975000,11.073369
pscad,284,0.400,1000.0,inf,20.0,16.996762,99.975000,11.208110
pscad,285,0.400,1000.0,inf,30.0,11.729750,99.975000,11.078997
pscad,286,0.400,1000.0,inf,40.0,9.447869,99.975000,11.097221
pscad,287,0.400,1000.0,inf,inf,4.904977,55.751620,12.080112
pscad,288,0.400,2000.0,20.0,20.0,60.597937,82.825714,0.648381
pscad,289,0.400,2000.0,20.0,30.0,69.237549,22.588570,0.683154
pscad,290,0.400,2000.0,20.0,40.0,137.500000,116.697878,0.742835
pscad,291,0.400,2000.0,20.0,inf,6.542409,38.410568,0.892311
pscad,292,0.400,2000.0,30.0,20.0,16.171544,6.377439,1.074871
pscad,293,0.400,2000.0,30.0,30.0,76.056533,64.588937,1.070955
pscad,294,0.400,2000.0,30.0,40.0,88.493005,74.594340,1.047382
pscad,295,0.400,2000.0,30.0,inf,58.406144,54.526400,1.062132
pscad,296,0.400,2000.0,40.0,20.0,137.500000,149.975000,1.153057
pscad,297,0.400,2000.0,40.0,30.0,12.573319,41.315475,0.957895
pscad,298,0.400,2000.0,40.0,40.0,43.215142,54.407140,0.994508
