alpha,Rx,sigma_min,sigma_min_over_max,hermann_krener_rank,is_degenerate
0.196939,358.7284,7.730579e-06,3.254908e-02,2,0
0.196939,388.5425,6.597231e-06,3.244418e-02,2,0
0.196939,420.8346,5.628206e-06,3.231130e-02,2,0
0.196939,455.8105,4.799647e-06,3.214564e-02,2,0
0.196939,493.6932,4.091171e-06,3.194192e-02,2,0
0.196939,534.7244,3.485362e-06,3.169437e-02,2,0
0.196939,579.1657,2.967344e-06,3.139682e-02,2,0
0.196939,627.3006,2.524413e-06,3.104282e-02,2,0
0.196939,679.4360,2.145719e-06,3.062579e-02,2,0
0.196939,735.9045,1.821999e-06,3.013929e-02,2,0
0.196939,797.0660,1.545343e-06,2.957727e-02,2,0
0.196939,863.3107,1.308998e-06,2.893452e-02,2,0
0.196939,935.0611,1.107197e-06,2.820701e-02,2,0
0.196939,1012.7747,9.350097e-07,2.739240e-02,2,0
0.196939,1096.9472,7.882246e-07,2.649043e-02,2,0
0.196939,1188.1153,6.632356e-07,2.550333e-02,2,0
0.196939,1286.8604,5.569536e-07,2.443607e-02,2,0
0.196939,1393.8123,4.667271e-07,2.329649e-02,2,0
0.196939,1509.6530,3.902764e-07,2.209519e-02,2,0
0.196939,1635.1214,3.256374e-07,2.084522e-02,2,0
0.196939,1771.0175,2.711147e-07,1.956152e-02,2,0
0.196939,1918.2081,2.252423e-07,1.826026e-02,2,0
0.196939,2077.6318,1.867512e-07,1.695798e-02,2,0
0.196939,2250.3052,1.545425e-07,1.567084e-02,2,0
0.196939,2437.3297,1.276654e-07,1.441378e-02,2,0
0.196939,2639.8980,1.052980e-07,1.319996e-02,2,0
0.196939,2859.3018,8.673195e-08,1.204030e-02,2,0
0.196939,3096.9405,7.135881e-08,1.094325e-02,2,0
0.196939,3354.3295,5.865781e-08,9.914766e-03,2,1
0.196939,3633.1102,4.818536e-08,8.958395e-03,2,1
0.196939,3935.0607,3.956533e-08,8.075561e-03,2,1
0.196939,4262.1064,3.248035e-08,7.265858e-03,2,1
0.196939,4616.3332,2.666388e-08,6.527411e-03,2,1
0.196939,5000.0000,2.189308e-08,5.857225e-03,2,1
0.215306,100.0000,9.524660e-05,3.266494e-02,2,0
0.215306,108.3111,8.150132e-05,3.268418e-02,2,0
