t,ia,ib,ic,va,vb,vc,i_rms
0.0251,-1.0307601,2.0771798,-1.0464197,-0.98156846,0.85022618,0.13134227,2.0743856
0.0252,-1.0300728,2.0771612,-1.0470885,-0.98178179,0.850657,0.13112479,2.074424
0.0253,-1.0293854,2.0771426,-1.0477572,-0.98199513,0.85108782,0.13090731,2.0744621
0.0254,-1.028698,2.0771241,-1.048426,-0.98220847,0.85151864,0.13068983,2.0744997
0.0255,-1.0280107,2.0771055,-1.0490948,-0.9824218,0.85194945,0.13047235,2.074537
0.0256,-1.0273233,2.0770869,-1.0497636,-0.98263514,0.85238027,0.13025487,2.0745739
0.0257,-1.026636,2.0770683,-1.0504323,-0.98284848,0.85281109,0.13003739,2.0746104
0.0258,-1.0259486,2.0770497,-1.0511011,-0.98306181,0.8532419,0.12981991,2.0746466
0.0259,-1.0252612,2.0770311,-1.0517699,-0.98327515,0.85367272,0.12960243,2.0746823
0.026,-1.0245739,2.0770125,-1.0524387,-0.98348849,0.85410354,0.12938495,2.0747177
0.0261,-1.0238824,2.0769826,-1.0531002,-0.98369594,0.85453348,0.12916246,2.0747526
0.0262,-1.0231909,2.0769526,-1.0537617,-0.9839034,0.85496342,0.12893998,2.0747871
0.0263,-1.0224994,2.0769226,-1.0544232,-0.98411085,0.85539335,0.1287175,2.0748212
0.0264,-1.0218079,2.0768926,-1.0550847,-0.98431831,0.85582329,0.12849501,2.0748548
0.0265,-1.0211164,2.0768627,-1.0557462,-0.98452576,0.85625323,0.12827253,2.0748879
0.0266,-1.0204249,2.0768327,-1.0564078,-0.98473322,0.85668317,0.12805005,2.0749207
0.0267,-1.0197334,2.0768027,-1.0570693,-0.98494067,0.85711311,0.12782756,2.074953
0.0268,-1.0190419,2.0767727,-1.0577308,-0.98514813,0.85754305,0.12760508,2.0749848
0.0269,-1.0183504,2.0767427,-1.0583923,-0.98535558,0.85797298,0.1273826,2.0750163
0.027,-1.0176589,2.0767128,-1.0590538,-0.98556304,0.85840292,0.12716011,2.0750473
0.0271,-1.0169656,2.0766704,-1.0597048,-0.98576323,0.8588302,0.12693303,2.0750778
0.0272,-1.0162723,2.0766281,-1.0603557,-0.98596342,0.85925748,0.12670594,2.0751078
0.0273,-1.0155791,2.0765857,-1.0610067,-0.98616361,0.85968476,0.12647886,2.0751373
0.0274,-1.0148858,2.0765434,-1.0616576,-0.98636381,0.86011204,0.12625177,2.0751663
0.0275,-1.0141925,2.0765011,-1.0623086,-0.986564,0.86053931,0.12602469,2.0751948
0.0276,-1.0134992,2.0764587,-1.0629595,-0.98676419,0.86096659,0.1257976,2.0752228
0.0277,-1.0128059,2.0764164,-1.0636105,-0.98696438,0.86139387,0.12557051,2.0752503
0.0278,-1.0121126,2.076374,-1.0642614,-0.98716458,0.86182115,0.12534343,2.0752774
